media time, time, latitude, longitude, elevation [m], speed [m/s], heading, variation, position dilution, horizontal dilution, vertical dilution, fix type, satellite count, valid
00:00:00.00,2013-04-28T14:09:47Z,39.186610,-75.525902,12.0,0.0,,,,1.31000,,,08,1
00:00:00.20,2013-04-28T14:09:48Z,39.186611,-75.525902,12.0,0.1,,,,1.31000,,,08,1
00:00:00.40,2013-04-28T14:09:48Z,39.186611,-75.525902,11.9,0.0,,,,1.31000,,,08,1
00:00:00.60,2013-04-28T14:09:48Z,39.186611,-75.525902,11.9,0.0,,,,1.31000,,,08,1
00:00:00.80,2013-04-28T14:09:48Z,39.186610,-75.525901,11.9,0.4,,,,1.31000,,,08,1
00:00:01.00,2013-04-28T14:09:48Z,39.186608,-75.525899,11.9,1.0,149.33,,,1.31000,,,08,1
00:00:01.20,2013-04-28T14:09:49Z,39.186603,-75.525898,11.8,1.8,152.82,,,1.31000,,,08,1
00:00:01.40,2013-04-28T14:09:49Z,39.186596,-75.525896,11.9,2.9,160.05,,,1.31000,,,08,1
00:00:01.60,2013-04-28T14:09:49Z,39.186589,-75.525893,11.9,3.6,162.11,,,1.31000,,,08,1
00:00:01.80,2013-04-28T14:09:49Z,39.186580,-75.525891,11.9,4.3,164.79,,,1.31000,,,08,1
00:00:02.00,2013-04-28T14:09:49Z,39.186571,-75.525889,11.9,5.1,166.82,,,1.31000,,,08,1
00:00:02.20,2013-04-28T14:09:50Z,39.186560,-75.525888,11.8,5.7,171.45,,,1.31000,,,08,1
00:00:02.40,2013-04-28T14:09:50Z,39.186547,-75.525888,11.8,6.6,175.41,,,1.31000,,,08,1
00:00:02.60,2013-04-28T14:09:50Z,39.186532,-75.525891,11.7,7.5,182.27,,,1.31000,,,08,1
00:00:02.80,2013-04-28T14:09:50Z,39.186519,-75.525897,11.5,7.9,189.22,,,1.31000,,,08,1
00:00:03.00,2013-04-28T14:09:50Z,39.186504,-75.525906,11.5,8.6,199.71,,,1.31000,,,08,1
00:00:03.20,2013-04-28T14:09:51Z,39.186488,-75.525918,11.4,9.5,206.70,,,1.31000,,,08,1
00:00:03.40,2013-04-28T14:09:51Z,39.186472,-75.525931,11.4,10.2,211.15,,,1.31000,,,08,1
00:00:03.60,2013-04-28T14:09:51Z,39.186455,-75.525948,11.4,11.0,215.36,,,1.31000,,,08,1
00:00:03.80,2013-04-28T14:09:51Z,39.186439,-75.525966,11.3,11.6,218.47,,,1.31000,,,08,1
00:00:04.00,2013-04-28T14:09:51Z,39.186423,-75.525984,11.3,11.7,220.52,,,1.31000,,,08,1
00:00:04.20,2013-04-28T14:09:52Z,39.186407,-75.526003,11.3,11.9,221.42,,,1.31000,,,08,1
00:00:04.40,2013-04-28T14:09:52Z,39.186390,-75.526023,11.3,12.5,221.36,,,1.31000,,,08,1
00:00:04.60,2013-04-28T14:09:52Z,39.186371,-75.526043,11.2,13.2,219.71,,,1.31000,,,08,1
00:00:04.80,2013-04-28T14:09:52Z,39.186351,-75.526064,11.2,13.6,219.29,,,1.31000,,,08,1
00:00:05.00,2013-04-28T14:09:52Z,39.186332,-75.526087,11.1,14.1,221.43,,,1.31000,,,08,1
00:00:05.20,2013-04-28T14:09:53Z,39.186314,-75.526113,11.0,14.7,224.85,,,1.31000,,,08,1
00:00:05.40,2013-04-28T14:09:53Z,39.186295,-75.526141,11.0,15.5,228.11,,,1.31000,,,08,1
00:00:05.60,2013-04-28T14:09:53Z,39.186278,-75.526173,10.9,16.1,231.80,,,1.31000,,,08,1
00:00:05.80,2013-04-28T14:09:53Z,39.186263,-75.526206,10.8,16.6,236.10,,,1.31000,,,08,1
00:00:06.00,2013-04-28T14:09:53Z,39.186250,-75.526242,10.8,17.1,239.90,,,1.31000,,,08,1
00:00:06.20,2013-04-28T14:09:54Z,39.186238,-75.526280,10.9,17.6,244.24,,,1.31000,,,08,1
00:00:06.40,2013-04-28T14:09:54Z,39.186229,-75.526320,10.8,18.0,249.03,,,1.31000,,,08,1
00:00:06.60,2013-04-28T14:09:54Z,39.186223,-75.526362,10.8,18.3,253.33,,,1.31000,,,08,1
00:00:06.80,2013-04-28T14:09:54Z,39.186219,-75.526405,10.8,18.7,257.86,,,1.31000,,,08,1
00:00:07.00,2013-04-28T14:09:54Z,39.186213,-75.526448,10.8,18.8,258.92,,,1.31000,,,08,1
00:00:07.20,2013-04-28T14:09:55Z,39.186206,-75.526491,10.8,18.8,258.45,,,1.31000,,,08,1
00:00:07.40,2013-04-28T14:09:55Z,39.186195,-75.526529,11.1,18.1,255.67,,,1.31000,,,08,1
00:00:07.60,2013-04-28T14:09:55Z,39.186184,-75.526569,11.2,18.1,252.79,,,1.31000,,,08,1
00:00:07.80,2013-04-28T14:09:55Z,39.186168,-75.526603,11.4,17.3,247.44,,,1.31000,,,08,1
00:00:08.00,2013-04-28T14:09:55Z,39.186147,-75.526634,11.5,16.9,239.92,,,1.31000,,,08,1
00:00:08.20,2013-04-28T14:09:56Z,39.186125,-75.526663,11.5,16.7,232.81,,,1.31000,,,08,1
00:00:08.40,2013-04-28T14:09:56Z,39.186101,-75.526689,11.4,16.5,226.52,,,1.31000,,,08,1
00:00:08.60,2013-04-28T14:09:56Z,39.186076,-75.526711,11.3,16.3,219.99,,,1.31000,,,08,1
00:00:08.80,2013-04-28T14:09:56Z,39.186051,-75.526728,11.5,15.7,213.55,,,1.31000,,,08,1
00:00:09.00,2013-04-28T14:09:56Z,39.186027,-75.526742,11.5,15.1,208.60,,,1.31000,,,08,1
00:00:09.20,2013-04-28T14:09:57Z,39.186005,-75.526756,11.4,14.5,206.41,,,1.31000,,,08,1
00:00:09.40,2013-04-28T14:09:57Z,39.185984,-75.526770,11.4,13.9,207.25,,,1.31000,,,08,1
00:00:09.60,2013-04-28T14:09:57Z,39.185967,-75.526787,11.4,13.1,211.34,,,1.31000,,,08,1
00:00:09.80,2013-04-28T14:09:57Z,39.185953,-75.526807,11.3,12.5,219.65,,,1.31000,,,08,1
00:00:10.00,2013-04-28T14:09:57Z,39.185943,-75.526830,11.2,12.2,228.48,,,1.31000,,,08,1
00:00:10.20,2013-04-28T14:09:58Z,39.185934,-75.526856,11.0,12.3,237.21,,,1.31000,,,08,1
00:00:10.40,2013-04-28T14:09:58Z,39.185927,-75.526883,11.0,12.5,245.08,,,1.31000,,,08,1
00:00:10.60,2013-04-28T14:09:58Z,39.185924,-75.526912,11.0,12.7,253.32,,,1.31000,,,08,1
00:00:10.80,2013-04-28T14:09:58Z,39.185924,-75.526943,10.9,12.9,260.46,,,1.31000,,,08,1
00:00:11.00,2013-04-28T14:09:58Z,39.185927,-75.526973,10.9,13.2,267.64,,,1.31000,,,08,1
00:00:11.20,2013-04-28T14:09:59Z,39.185932,-75.527004,10.8,13.5,274.05,,,1.31000,,,08,1
00:00:11.40,2013-04-28T14:09:59Z,39.185940,-75.527036,10.8,13.9,279.99,,,1.31000,,,08,1
00:00:11.60,2013-04-28T14:09:59Z,39.185950,-75.527068,10.8,14.3,285.32,,,1.31000,,,08,1
00:00:11.80,2013-04-28T14:09:59Z,39.185961,-75.527100,10.7,14.8,289.14,,,1.31000,,,08,1
00:00:12.00,2013-04-28T14:09:59Z,39.185974,-75.527133,10.7,15.3,291.95,,,1.31000,,,08,1
00:00:12.20,2013-04-28T14:10:00Z,39.185988,-75.527167,10.6,16.0,294.39,,,1.31000,,,08,1
00:00:12.40,2013-04-28T14:10:00Z,39.186002,-75.527203,10.6,16.5,295.12,,,1.31000,,,08,1
00:00:12.60,2013-04-28T14:10:00Z,39.186015,-75.527240,10.6,17.1,294.45,,,1.31000,,,08,1
00:00:12.80,2013-04-28T14:10:00Z,39.186027,-75.527278,10.5,17.5,293.51,,,1.31000,,,08,1
00:00:13.00,2013-04-28T14:10:00Z,39.186039,-75.527318,10.6,18.1,292.55,,,1.31000,,,08,1
00:00:13.20,2013-04-28T14:10:01Z,39.186051,-75.527361,10.5,18.9,291.01,,,1.31000,,,08,1
00:00:13.40,2013-04-28T14:10:01Z,39.186061,-75.527402,10.5,18.9,289.64,,,1.31000,,,08,1
00:00:13.60,2013-04-28T14:10:01Z,39.186069,-75.527442,10.6,18.3,287.73,,,1.31000,,,08,1
00:00:13.80,2013-04-28T14:10:01Z,39.186075,-75.527479,10.6,17.3,285.52,,,1.31000,,,08,1
00:00:14.00,2013-04-28T14:10:01Z,39.186079,-75.527514,10.6,16.2,282.76,,,1.31000,,,08,1
00:00:14.20,2013-04-28T14:10:02Z,39.186080,-75.527544,10.7,14.7,278.83,,,1.31000,,,08,1
00:00:14.40,2013-04-28T14:10:02Z,39.186077,-75.527573,10.8,13.5,273.64,,,1.31000,,,08,1
00:00:14.60,2013-04-28T14:10:02Z,39.186071,-75.527600,10.9,12.4,266.83,,,1.31000,,,08,1
00:00:14.80,2013-04-28T14:10:02Z,39.186064,-75.527625,11.0,11.7,259.43,,,1.31000,,,08,1
00:00:15.00,2013-04-28T14:10:02Z,39.186053,-75.527648,10.9,11.1,250.63,,,1.31000,,,08,1
00:00:15.20,2013-04-28T14:10:03Z,39.186041,-75.527668,10.8,10.6,241.12,,,1.31000,,,08,1
00:00:15.40,2013-04-28T14:10:03Z,39.186025,-75.527683,10.7,10.1,229.56,,,1.31000,,,08,1
00:00:15.60,2013-04-28T14:10:03Z,39.186007,-75.527695,10.9,10.1,217.23,,,1.31000,,,08,1
00:00:15.80,2013-04-28T14:10:03Z,39.185987,-75.527702,11.0,10.3,205.56,,,1.31000,,,08,1
00:00:16.00,2013-04-28T14:10:03Z,39.185966,-75.527706,11.1,10.7,194.69,,,1.31000,,,08,1
00:00:16.20,2013-04-28T14:10:04Z,39.185944,-75.527705,11.2,11.2,184.58,,,1.31000,,,08,1
00:00:16.40,2013-04-28T14:10:04Z,39.185921,-75.527701,11.2,11.8,176.84,,,1.31000,,,08,1
00:00:16.60,2013-04-28T14:10:04Z,39.185899,-75.527695,11.1,12.3,171.93,,,1.31000,,,08,1
00:00:16.80,2013-04-28T14:10:04Z,39.185875,-75.527688,11.1,12.9,167.86,,,1.31000,,,08,1
00:00:17.00,2013-04-28T14:10:04Z,39.185851,-75.527676,11.1,13.6,162.91,,,1.31000,,,08,1
00:00:17.20,2013-04-28T14:10:05Z,39.185828,-75.527662,11.1,14.2,157.52,,,1.31000,,,08,1
00:00:17.40,2013-04-28T14:10:05Z,39.185805,-75.527643,11.1,14.8,151.97,,,1.31000,,,08,1
00:00:17.60,2013-04-28T14:10:05Z,39.185784,-75.527622,11.0,15.1,146.61,,,1.31000,,,08,1
00:00:17.80,2013-04-28T14:10:05Z,39.185764,-75.527596,10.9,15.5,140.36,,,1.31000,,,08,1
00:00:18.00,2013-04-28T14:10:05Z,39.185747,-75.527568,10.6,15.7,135.09,,,1.31000,,,08,1
00:00:18.20,2013-04-28T14:10:06Z,39.185731,-75.527536,10.7,16.1,129.30,,,1.31000,,,08,1
00:00:18.40,2013-04-28T14:10:06Z,39.185716,-75.527502,10.5,16.6,125.28,,,1.31000,,,08,1
00:00:18.60,2013-04-28T14:10:06Z,39.185699,-75.527468,10.5,17.0,123.56,,,1.31000,,,08,1
00:00:18.80,2013-04-28T14:10:06Z,39.185681,-75.527434,10.5,17.5,123.74,,,1.31000,,,08,1
00:00:19.00,2013-04-28T14:10:06Z,39.185661,-75.527400,10.5,17.9,125.97,,,1.31000,,,08,1
00:00:19.20,2013-04-28T14:10:07Z,39.185638,-75.527369,10.5,18.3,129.53,,,1.31000,,,08,1
00:00:19.40,2013-04-28T14:10:07Z,39.185612,-75.527341,10.4,18.5,134.20,,,1.31000,,,08,1
00:00:19.60,2013-04-28T14:10:07Z,39.185583,-75.527315,10.5,18.8,139.04,,,1.31000,,,08,1
00:00:19.80,2013-04-28T14:10:07Z,39.185554,-75.527289,10.5,19.3,142.35,,,1.31000,,,08,1
00:00:20.00,2013-04-28T14:10:07Z,39.185524,-75.527261,10.5,19.9,143.35,,,1.31000,,,08,1
00:00:20.20,2013-04-28T14:10:08Z,39.185494,-75.527231,10.6,20.5,142.10,,,1.31000,,,08,1
00:00:20.40,2013-04-28T14:10:08Z,39.185466,-75.527197,10.7,21.0,139.43,,,1.31000,,,08,1
00:00:20.60,2013-04-28T14:10:08Z,39.185440,-75.527159,10.7,21.4,136.15,,,1.31000,,,08,1
00:00:20.80,2013-04-28T14:10:08Z,39.185415,-75.527120,10.6,21.7,132.55,,,1.31000,,,08,1
00:00:21.00,2013-04-28T14:10:08Z,39.185392,-75.527078,10.5,22.2,129.52,,,1.31000,,,08,1
00:00:21.20,2013-04-28T14:10:09Z,39.185367,-75.527034,10.5,22.7,127.97,,,1.31000,,,08,1
00:00:21.40,2013-04-28T14:10:09Z,39.185341,-75.526990,10.5,23.3,127.13,,,1.31000,,,08,1
00:00:21.60,2013-04-28T14:10:09Z,39.185315,-75.526945,10.4,23.7,126.93,,,1.31000,,,08,1
00:00:21.80,2013-04-28T14:10:09Z,39.185290,-75.526902,10.4,23.4,126.96,,,1.31000,,,08,1
00:00:22.00,2013-04-28T14:10:09Z,39.185266,-75.526861,10.4,22.5,127.04,,,1.31000,,,08,1
00:00:22.20,2013-04-28T14:10:10Z,39.185245,-75.526824,10.4,21.1,126.90,,,1.31000,,,08,1
00:00:22.40,2013-04-28T14:10:10Z,39.185224,-75.526788,10.4,19.7,127.07,,,1.31000,,,08,1
00:00:22.60,2013-04-28T14:10:10Z,39.185204,-75.526753,10.3,19.2,126.66,,,1.31000,,,08,1
00:00:22.80,2013-04-28T14:10:10Z,39.185185,-75.526719,10.4,18.6,125.54,,,1.31000,,,08,1
00:00:23.00,2013-04-28T14:10:10Z,39.185168,-75.526685,10.7,17.5,123.27,,,1.31000,,,08,1
00:00:23.20,2013-04-28T14:10:11Z,39.185153,-75.526653,10.7,16.4,121.43,,,1.31000,,,08,1
00:00:23.40,2013-04-28T14:10:11Z,39.185143,-75.526621,10.9,15.3,117.09,,,1.31000,,,08,1
00:00:23.60,2013-04-28T14:10:11Z,39.185138,-75.526590,11.0,14.1,110.37,,,1.31000,,,08,1
00:00:23.80,2013-04-28T14:10:11Z,39.185141,-75.526557,10.9,13.6,97.65,,,1.31000,,,08,1
00:00:24.00,2013-04-28T14:10:11Z,39.185144,-75.526527,10.8,13.2,88.98,,,1.31000,,,08,1
00:00:24.20,2013-04-28T14:10:12Z,39.185149,-75.526499,10.8,12.8,81.87,,,1.31000,,,08,1
00:00:24.40,2013-04-28T14:10:12Z,39.185158,-75.526471,10.8,12.6,72.96,,,1.31000,,,08,1
00:00:24.60,2013-04-28T14:10:12Z,39.185170,-75.526445,10.8,12.6,64.26,,,1.31000,,,08,1
00:00:24.80,2013-04-28T14:10:12Z,39.185186,-75.526421,10.6,12.8,56.00,,,1.31000,,,08,1
00:00:25.00,2013-04-28T14:10:12Z,39.185202,-75.526398,10.6,12.9,51.57,,,1.31000,,,08,1
00:00:25.20,2013-04-28T14:10:13Z,39.185220,-75.526378,10.5,12.9,44.96,,,1.31000,,,08,1
00:00:25.40,2013-04-28T14:10:13Z,39.185240,-75.526362,10.6,12.7,38.45,,,1.31000,,,08,1
00:00:25.60,2013-04-28T14:10:13Z,39.185265,-75.526350,10.4,13.2,30.76,,,1.31000,,,08,1
00:00:25.80,2013-04-28T14:10:13Z,39.185288,-75.526336,10.5,13.7,27.99,,,1.31000,,,08,1
00:00:26.00,2013-04-28T14:10:13Z,39.185313,-75.526323,10.5,14.2,24.52,,,1.31000,,,08,1
00:00:26.20,2013-04-28T14:10:14Z,39.185341,-75.526314,10.5,14.6,19.45,,,1.31000,,,08,1
00:00:26.40,2013-04-28T14:10:14Z,39.185372,-75.526312,10.3,15.1,11.81,,,1.31000,,,08,1
00:00:26.60,2013-04-28T14:10:14Z,39.185404,-75.526312,10.0,15.8,6.00,,,1.31000,,,08,1
00:00:26.80,2013-04-28T14:10:14Z,39.185435,-75.526315,10.1,16.2,359.04,,,1.31000,,,08,1
00:00:27.00,2013-04-28T14:10:14Z,39.185467,-75.526321,10.0,16.6,354.20,,,1.31000,,,08,1
00:00:27.20,2013-04-28T14:10:15Z,39.185498,-75.526328,9.9,16.9,352.11,,,1.31000,,,08,1
00:00:27.40,2013-04-28T14:10:15Z,39.185529,-75.526334,9.9,17.0,351.58,,,1.31000,,,08,1
00:00:27.60,2013-04-28T14:10:15Z,39.185558,-75.526337,9.9,16.8,353.17,,,1.31000,,,08,1
00:00:27.80,2013-04-28T14:10:15Z,39.185586,-75.526338,10.0,16.4,356.60,,,1.31000,,,08,1
00:00:28.00,2013-04-28T14:10:15Z,39.185614,-75.526336,10.1,16.0,359.87,,,1.31000,,,08,1
00:00:28.20,2013-04-28T14:10:16Z,39.185639,-75.526329,10.1,15.4,6.51,,,1.31000,,,08,1
00:00:28.40,2013-04-28T14:10:16Z,39.185665,-75.526318,9.9,15.2,13.37,,,1.31000,,,08,1
00:00:28.60,2013-04-28T14:10:16Z,39.185689,-75.526303,9.8,15.3,19.91,,,1.31000,,,08,1
00:00:28.80,2013-04-28T14:10:16Z,39.185711,-75.526286,10.0,15.2,25.21,,,1.31000,,,08,1
00:00:29.00,2013-04-28T14:10:16Z,39.185732,-75.526264,10.1,15.2,32.26,,,1.31000,,,08,1
00:00:29.20,2013-04-28T14:10:17Z,39.185749,-75.526239,10.1,15.1,39.80,,,1.31000,,,08,1
00:00:29.40,2013-04-28T14:10:17Z,39.185766,-75.526210,10.1,15.5,46.49,,,1.31000,,,08,1
00:00:29.60,2013-04-28T14:10:17Z,39.185779,-75.526178,10.1,16.0,53.56,,,1.31000,,,08,1
00:00:29.80,2013-04-28T14:10:17Z,39.185791,-75.526144,10.1,16.1,59.95,,,1.31000,,,08,1
00:00:30.00,2013-04-28T14:10:17Z,39.185798,-75.526108,10.1,16.3,66.59,,,1.31000,,,08,1
00:00:30.20,2013-04-28T14:10:18Z,39.185804,-75.526070,10.0,16.6,72.40,,,1.31000,,,08,1
00:00:30.40,2013-04-28T14:10:18Z,39.185809,-75.526031,10.0,17.0,76.86,,,1.31000,,,08,1
00:00:30.60,2013-04-28T14:10:18Z,39.185813,-75.525991,9.9,17.6,79.36,,,1.31000,,,08,1
00:00:30.80,2013-04-28T14:10:18Z,39.185817,-75.525949,10.0,18.1,80.26,,,1.31000,,,08,1
00:00:31.00,2013-04-28T14:10:18Z,39.185825,-75.525907,9.9,18.6,78.85,,,1.31000,,,08,1
00:00:31.20,2013-04-28T14:10:19Z,39.185835,-75.525864,9.9,19.1,76.09,,,1.31000,,,08,1
00:00:31.40,2013-04-28T14:10:19Z,39.185848,-75.525822,10.0,19.3,72.27,,,1.31000,,,08,1
00:00:31.60,2013-04-28T14:10:19Z,39.185864,-75.525780,10.1,19.5,68.16,,,1.31000,,,08,1
00:00:31.80,2013-04-28T14:10:19Z,39.185884,-75.525741,10.1,19.8,62.76,,,1.31000,,,08,1
00:00:32.00,2013-04-28T14:10:19Z,39.185907,-75.525706,9.9,19.7,56.72,,,1.31000,,,08,1
00:00:32.20,2013-04-28T14:10:20Z,39.185933,-75.525673,9.8,19.9,50.95,,,1.31000,,,08,1
00:00:32.40,2013-04-28T14:10:20Z,39.185961,-75.525643,9.7,20.1,45.19,,,1.31000,,,08,1
00:00:32.60,2013-04-28T14:10:20Z,39.185992,-75.525614,9.8,20.4,39.86,,,1.31000,,,08,1
00:00:32.80,2013-04-28T14:10:20Z,39.186024,-75.525586,9.8,20.8,36.98,,,1.31000,,,08,1
00:00:33.00,2013-04-28T14:10:20Z,39.186056,-75.525558,9.9,21.3,35.15,,,1.31000,,,08,1
00:00:33.20,2013-04-28T14:10:21Z,39.186088,-75.525529,10.0,21.4,34.90,,,1.31000,,,08,1
00:00:33.40,2013-04-28T14:10:21Z,39.186119,-75.525498,10.1,21.7,36.55,,,1.31000,,,08,1
00:00:33.60,2013-04-28T14:10:21Z,39.186150,-75.525465,10.2,22.1,38.51,,,1.31000,,,08,1
00:00:33.80,2013-04-28T14:10:21Z,39.186182,-75.525431,10.1,22.5,39.59,,,1.31000,,,08,1
00:00:34.00,2013-04-28T14:10:21Z,39.186214,-75.525398,10.1,22.7,38.65,,,1.31000,,,08,1
00:00:34.20,2013-04-28T14:10:22Z,39.186249,-75.525369,10.2,22.8,35.64,,,1.31000,,,08,1
00:00:34.40,2013-04-28T14:10:22Z,39.186288,-75.525347,10.0,22.8,29.77,,,1.31000,,,08,1
00:00:34.60,2013-04-28T14:10:22Z,39.186326,-75.525330,10.0,22.6,24.70,,,1.31000,,,08,1
00:00:34.80,2013-04-28T14:10:22Z,39.186366,-75.525316,9.9,22.7,19.73,,,1.31000,,,08,1
00:00:35.00,2013-04-28T14:10:22Z,39.186408,-75.525302,9.9,23.0,16.68,,,1.31000,,,08,1
00:00:35.20,2013-04-28T14:10:23Z,39.186449,-75.525289,10.0,23.4,15.20,,,1.31000,,,08,1
00:00:35.40,2013-04-28T14:10:23Z,39.186491,-75.525273,10.1,23.8,15.76,,,1.31000,,,08,1
00:00:35.60,2013-04-28T14:10:23Z,39.186532,-75.525253,10.2,24.0,18.15,,,1.31000,,,08,1
00:00:35.80,2013-04-28T14:10:23Z,39.186570,-75.525231,10.4,23.8,21.33,,,1.31000,,,08,1
00:00:36.00,2013-04-28T14:10:23Z,39.186605,-75.525207,10.6,23.0,24.27,,,1.31000,,,08,1
00:00:36.20,2013-04-28T14:10:24Z,39.186634,-75.525185,10.6,21.4,26.54,,,1.31000,,,08,1
00:00:36.40,2013-04-28T14:10:24Z,39.186659,-75.525163,10.8,19.7,28.98,,,1.31000,,,08,1
00:00:36.60,2013-04-28T14:10:24Z,39.186682,-75.525142,10.9,18.0,31.28,,,1.31000,,,08,1
00:00:36.80,2013-04-28T14:10:24Z,39.186701,-75.525121,10.9,16.0,34.74,,,1.31000,,,08,1
00:00:37.00,2013-04-28T14:10:24Z,39.186718,-75.525101,10.8,14.8,37.83,,,1.31000,,,08,1
00:00:37.20,2013-04-28T14:10:25Z,39.186736,-75.525082,10.8,13.8,37.98,,,1.31000,,,08,1
00:00:37.40,2013-04-28T14:10:25Z,39.186755,-75.525066,10.9,13.0,35.03,,,1.31000,,,08,1
00:00:37.60,2013-04-28T14:10:25Z,39.186777,-75.525056,10.7,12.5,27.34,,,1.31000,,,08,1
00:00:37.80,2013-04-28T14:10:25Z,39.186799,-75.525049,10.6,12.2,19.38,,,1.31000,,,08,1
00:00:38.00,2013-04-28T14:10:25Z,39.186822,-75.525046,10.3,12.5,12.00,,,1.31000,,,08,1
00:00:38.20,2013-04-28T14:10:26Z,39.186847,-75.525047,10.2,12.9,3.74,,,1.31000,,,08,1
00:00:38.40,2013-04-28T14:10:26Z,39.186872,-75.525053,10.4,13.2,354.10,,,1.31000,,,08,1
00:00:38.60,2013-04-28T14:10:26Z,39.186897,-75.525063,10.4,13.8,346.20,,,1.31000,,,08,1
00:00:38.80,2013-04-28T14:10:26Z,39.186921,-75.525077,10.4,14.3,338.53,,,1.31000,,,08,1
00:00:39.00,2013-04-28T14:10:26Z,39.186944,-75.525096,10.4,14.8,331.43,,,1.31000,,,08,1
00:00:39.20,2013-04-28T14:10:27Z,39.186967,-75.525119,10.1,15.3,326.09,,,1.31000,,,08,1
00:00:39.40,2013-04-28T14:10:27Z,39.186989,-75.525144,10.0,15.9,321.17,,,1.31000,,,08,1
00:00:39.60,2013-04-28T14:10:27Z,39.187011,-75.525171,9.9,16.4,318.45,,,1.31000,,,08,1
00:00:39.80,2013-04-28T14:10:27Z,39.187035,-75.525198,9.9,16.9,318.15,,,1.31000,,,08,1
00:00:40.00,2013-04-28T14:10:27Z,39.187059,-75.525223,9.9,17.2,319.83,,,1.31000,,,08,1
00:00:40.20,2013-04-28T14:10:28Z,39.187086,-75.525246,10.0,17.2,323.22,,,1.31000,,,08,1
