media time, time, latitude, longitude, elevation [m], speed [m/s], heading, variation, position dilution, horizontal dilution, vertical dilution, fix type, satellite count, valid
00:00:00.00,2013-04-28T14:55:18Z,39.186619,-75.525908,10.1,0.1,,,,1.19000,,,08,1
00:00:00.20,2013-04-28T14:55:18Z,39.186619,-75.525908,10.1,0.1,,,,1.19000,,,08,1
00:00:00.40,2013-04-28T14:55:19Z,39.186619,-75.525908,10.1,0.1,,,,1.19000,,,08,1
00:00:00.60,2013-04-28T14:55:19Z,39.186618,-75.525908,10.1,0.0,,,,1.19000,,,08,1
00:00:00.80,2013-04-28T14:55:19Z,39.186617,-75.525908,10.1,0.3,,,,1.19000,,,08,1
00:00:01.00,2013-04-28T14:55:19Z,39.186616,-75.525907,10.1,0.7,160.50,,,1.19000,,,08,1
00:00:01.20,2013-04-28T14:55:19Z,39.186612,-75.525906,10.1,1.6,162.32,,,1.19000,,,08,1
00:00:01.40,2013-04-28T14:55:20Z,39.186607,-75.525905,10.1,2.4,165.95,,,1.19000,,,08,1
00:00:01.60,2013-04-28T14:55:20Z,39.186600,-75.525903,10.2,3.3,166.93,,,1.19000,,,08,1
00:00:01.80,2013-04-28T14:55:20Z,39.186591,-75.525901,10.1,4.2,168.94,,,1.19000,,,08,1
00:00:02.00,2013-04-28T14:55:20Z,39.186580,-75.525899,10.1,5.2,171.32,,,1.19000,,,08,1
00:00:02.20,2013-04-28T14:55:20Z,39.186568,-75.525899,10.0,6.2,175.45,,,1.19000,,,08,1
00:00:02.40,2013-04-28T14:55:21Z,39.186554,-75.525900,10.0,7.2,180.72,,,1.19000,,,08,1
00:00:02.60,2013-04-28T14:55:21Z,39.186539,-75.525904,9.9,8.0,186.05,,,1.19000,,,08,1
00:00:02.80,2013-04-28T14:55:21Z,39.186522,-75.525909,9.9,8.8,193.01,,,1.19000,,,08,1
00:00:03.00,2013-04-28T14:55:21Z,39.186505,-75.525918,9.9,9.6,198.17,,,1.19000,,,08,1
00:00:03.20,2013-04-28T14:55:21Z,39.186486,-75.525930,10.1,10.6,204.36,,,1.19000,,,08,1
00:00:03.40,2013-04-28T14:55:22Z,39.186467,-75.525943,10.0,11.4,207.66,,,1.19000,,,08,1
00:00:03.60,2013-04-28T14:55:22Z,39.186449,-75.525959,10.0,12.0,211.81,,,1.19000,,,08,1
