media time, time, latitude, longitude, elevation [m], speed [m/s], heading, variation, position dilution, horizontal dilution, vertical dilution, fix type, satellite count, valid
00:00:00.00,2013-05-05T15:52:29Z,41.580568,-83.819799,202.6,4.8,341.48,,,0.91000,,,09,1
00:00:00.20,2013-05-05T15:52:29Z,41.580580,-83.819805,202.6,5.8,340.08,,,0.91000,,,09,1
00:00:00.40,2013-05-05T15:52:29Z,41.580592,-83.819812,202.6,6.6,336.87,,,0.91000,,,09,1
00:00:00.60,2013-05-05T15:52:30Z,41.580604,-83.819821,202.6,7.0,334.30,,,0.91000,,,09,1
00:00:00.80,2013-05-05T15:52:30Z,41.580616,-83.819830,202.6,7.4,332.10,,,0.91000,,,09,1
00:00:01.00,2013-05-05T15:52:30Z,41.580629,-83.819840,202.6,7.8,330.66,,,0.91000,,,09,1
00:00:01.20,2013-05-05T15:52:30Z,41.580643,-83.819851,202.6,8.2,329.43,,,0.91000,,,09,1
00:00:01.40,2013-05-05T15:52:30Z,41.580656,-83.819861,202.6,8.5,329.93,,,0.91000,,,09,1
00:00:01.60,2013-05-05T15:52:31Z,41.580670,-83.819871,202.5,8.6,331.22,,,0.91000,,,09,1
00:00:01.80,2013-05-05T15:52:31Z,41.580684,-83.819879,202.5,8.6,334.53,,,0.91000,,,09,1
00:00:02.00,2013-05-05T15:52:31Z,41.580700,-83.819886,202.5,8.8,339.87,,,0.91000,,,09,1
00:00:02.20,2013-05-05T15:52:31Z,41.580715,-83.819889,202.4,8.8,347.18,,,0.91000,,,09,1
00:00:02.40,2013-05-05T15:52:31Z,41.580731,-83.819889,202.5,8.8,355.54,,,0.91000,,,09,1
00:00:02.60,2013-05-05T15:52:32Z,41.580746,-83.819886,202.5,8.8,2.69,,,0.91000,,,09,1
00:00:02.80,2013-05-05T15:52:32Z,41.580760,-83.819879,202.6,8.8,13.41,,,0.91000,,,09,1
00:00:03.00,2013-05-05T15:52:32Z,41.580775,-83.819869,202.7,8.9,20.90,,,0.91000,,,09,1
00:00:03.20,2013-05-05T15:52:32Z,41.580788,-83.819855,202.7,9.1,29.81,,,0.91000,,,09,1
00:00:03.40,2013-05-05T15:52:32Z,41.580798,-83.819837,202.6,9.4,41.30,,,0.91000,,,09,1
00:00:03.60,2013-05-05T15:52:33Z,41.580805,-83.819818,202.7,9.2,51.09,,,0.91000,,,09,1
00:00:03.80,2013-05-05T15:52:33Z,41.580811,-83.819797,202.8,9.2,60.21,,,0.91000,,,09,1
00:00:04.00,2013-05-05T15:52:33Z,41.580817,-83.819776,202.8,9.4,65.24,,,0.91000,,,09,1
00:00:04.20,2013-05-05T15:52:33Z,41.580823,-83.819753,202.8,10.0,67.48,,,0.91000,,,09,1
00:00:04.40,2013-05-05T15:52:33Z,41.580830,-83.819728,202.8,10.4,69.26,,,0.91000,,,09,1
00:00:04.60,2013-05-05T15:52:34Z,41.580835,-83.819705,202.8,10.5,70.29,,,0.91000,,,09,1
00:00:04.80,2013-05-05T15:52:34Z,41.580842,-83.819679,202.9,10.9,70.40,,,0.91000,,,09,1
00:00:05.00,2013-05-05T15:52:34Z,41.580849,-83.819653,202.9,11.4,70.67,,,0.91000,,,09,1
00:00:05.20,2013-05-05T15:52:34Z,41.580857,-83.819626,202.8,11.6,70.17,,,0.91000,,,09,1
00:00:05.40,2013-05-05T15:52:34Z,41.580864,-83.819600,202.8,11.7,69.65,,,0.91000,,,09,1
00:00:05.60,2013-05-05T15:52:35Z,41.580872,-83.819574,202.9,11.6,68.42,,,0.91000,,,09,1
00:00:05.80,2013-05-05T15:52:35Z,41.580880,-83.819549,202.9,11.6,67.17,,,0.91000,,,09,1
00:00:06.00,2013-05-05T15:52:35Z,41.580889,-83.819524,203.0,11.7,65.53,,,0.91000,,,09,1
00:00:06.20,2013-05-05T15:52:35Z,41.580900,-83.819499,203.1,11.8,62.24,,,0.91000,,,09,1
00:00:06.40,2013-05-05T15:52:35Z,41.580913,-83.819476,203.1,11.7,56.93,,,0.91000,,,09,1
00:00:06.60,2013-05-05T15:52:36Z,41.580928,-83.819458,203.2,11.3,49.15,,,0.91000,,,09,1
00:00:06.80,2013-05-05T15:52:36Z,41.580946,-83.819442,203.2,11.3,40.73,,,0.91000,,,09,1
00:00:07.00,2013-05-05T15:52:36Z,41.580965,-83.819431,203.2,11.2,31.97,,,0.91000,,,09,1
