media time, time, latitude, longitude, elevation [m], speed [m/s], heading, variation, position dilution, horizontal dilution, vertical dilution, fix type, satellite count, valid
00:00:00.00,2013-05-05T15:43:41Z,41.580559,-83.819799,204.1,4.5,334.69,,,0.94000,,,09,1
00:00:00.20,2013-05-05T15:43:41Z,41.580568,-83.819804,204.0,5.3,335.36,,,0.94000,,,09,1
00:00:00.40,2013-05-05T15:43:42Z,41.580580,-83.819811,204.0,6.1,335.83,,,0.94000,,,09,1
00:00:00.60,2013-05-05T15:43:42Z,41.580593,-83.819821,204.0,7.1,333.73,,,0.94000,,,09,1
00:00:00.80,2013-05-05T15:43:42Z,41.580607,-83.819831,204.1,8.0,331.66,,,0.94000,,,09,1
00:00:01.00,2013-05-05T15:43:42Z,41.580622,-83.819842,204.0,8.7,329.60,,,0.94000,,,09,1
00:00:01.20,2013-05-05T15:43:42Z,41.580638,-83.819855,204.0,9.6,329.78,,,0.94000,,,09,1
00:00:01.40,2013-05-05T15:43:43Z,41.580655,-83.819867,204.0,10.3,332.29,,,0.94000,,,09,1
00:00:01.60,2013-05-05T15:43:43Z,41.580675,-83.819877,203.8,10.9,337.18,,,0.94000,,,09,1
00:00:01.80,2013-05-05T15:43:43Z,41.580694,-83.819884,203.8,11.0,342.13,,,0.94000,,,09,1
00:00:02.00,2013-05-05T15:43:43Z,41.580712,-83.819887,203.8,10.8,349.52,,,0.94000,,,09,1
00:00:02.20,2013-05-05T15:43:43Z,41.580731,-83.819887,203.8,10.8,355.64,,,0.94000,,,09,1
00:00:02.40,2013-05-05T15:43:44Z,41.580749,-83.819884,203.8,10.4,2.55,,,0.94000,,,09,1
00:00:02.60,2013-05-05T15:43:44Z,41.580764,-83.819874,203.8,10.0,13.18,,,0.94000,,,09,1
00:00:02.80,2013-05-05T15:43:44Z,41.580779,-83.819862,203.7,10.0,22.90,,,0.94000,,,09,1
00:00:03.00,2013-05-05T15:43:44Z,41.580795,-83.819847,203.6,10.2,30.32,,,0.94000,,,09,1
00:00:03.20,2013-05-05T15:43:44Z,41.580808,-83.819829,203.5,10.5,38.66,,,0.94000,,,09,1
00:00:03.40,2013-05-05T15:43:45Z,41.580820,-83.819808,203.5,10.8,46.49,,,0.94000,,,09,1
00:00:03.60,2013-05-05T15:43:45Z,41.580830,-83.819784,203.4,11.1,53.63,,,0.94000,,,09,1
