media time, time, latitude, longitude, elevation [m], speed [m/s], heading, variation, position dilution, horizontal dilution, vertical dilution, fix type, satellite count, valid
00:00:00.00,2013-05-05T17:46:57Z,41.580567,-83.819790,202.3,4.9,330.51,,,0.96000,,,08,1
00:00:00.20,2013-05-05T17:46:57Z,41.580578,-83.819797,202.3,5.7,330.90,,,0.96000,,,08,1
00:00:00.40,2013-05-05T17:46:57Z,41.580589,-83.819806,202.3,6.6,329.28,,,0.96000,,,08,1
00:00:00.60,2013-05-05T17:46:57Z,41.580602,-83.819816,202.3,7.4,328.14,,,0.96000,,,08,1
00:00:00.80,2013-05-05T17:46:57Z,41.580616,-83.819828,202.2,8.2,327.07,,,0.96000,,,08,1
00:00:01.00,2013-05-05T17:46:58Z,41.580631,-83.819840,202.1,9.1,326.65,,,0.96000,,,08,1
00:00:01.20,2013-05-05T17:46:58Z,41.580647,-83.819853,202.0,9.8,328.53,,,0.96000,,,08,1
00:00:01.40,2013-05-05T17:46:58Z,41.580664,-83.819864,202.0,10.1,331.57,,,0.96000,,,08,1
00:00:01.60,2013-05-05T17:46:58Z,41.580682,-83.819873,202.0,10.2,336.82,,,0.96000,,,08,1
00:00:01.80,2013-05-05T17:46:58Z,41.580700,-83.819879,202.0,10.3,343.53,,,0.96000,,,08,1
00:00:02.00,2013-05-05T17:46:59Z,41.580720,-83.819881,201.8,10.6,351.68,,,0.96000,,,08,1
00:00:02.20,2013-05-05T17:46:59Z,41.580740,-83.819879,201.7,11.0,359.67,,,0.96000,,,08,1
00:00:02.40,2013-05-05T17:46:59Z,41.580758,-83.819873,201.7,11.0,8.70,,,0.96000,,,08,1
00:00:02.60,2013-05-05T17:46:59Z,41.580775,-83.819861,201.7,11.0,18.07,,,0.96000,,,08,1
00:00:02.80,2013-05-05T17:46:59Z,41.580790,-83.819845,201.7,11.0,28.22,,,0.96000,,,08,1
00:00:03.00,2013-05-05T17:47:00Z,41.580803,-83.819824,201.5,11.4,39.59,,,0.96000,,,08,1
00:00:03.20,2013-05-05T17:47:00Z,41.580814,-83.819800,201.4,11.7,48.79,,,0.96000,,,08,1
00:00:03.40,2013-05-05T17:47:00Z,41.580822,-83.819774,201.3,11.8,57.47,,,0.96000,,,08,1
00:00:03.60,2013-05-05T17:47:00Z,41.580829,-83.819745,201.3,12.3,64.60,,,0.97000,,,07,1
00:00:03.80,2013-05-05T17:47:00Z,41.580833,-83.819715,201.2,12.6,70.88,,,0.97000,,,07,1
00:00:04.00,2013-05-05T17:47:01Z,41.580836,-83.819683,201.2,13.0,75.80,,,0.97000,,,07,1
00:00:04.20,2013-05-05T17:47:01Z,41.580841,-83.819651,201.3,13.4,77.27,,,0.97000,,,07,1
00:00:04.40,2013-05-05T17:47:01Z,41.580846,-83.819618,201.3,13.9,77.15,,,0.97000,,,07,1
00:00:04.60,2013-05-05T17:47:01Z,41.580854,-83.819585,201.3,14.1,74.97,,,0.97000,,,08,1
00:00:04.80,2013-05-05T17:47:01Z,41.580863,-83.819555,201.4,13.7,71.15,,,0.97000,,,08,1
00:00:05.00,2013-05-05T17:47:02Z,41.580875,-83.819528,201.5,13.3,65.80,,,0.97000,,,08,1
00:00:05.20,2013-05-05T17:47:02Z,41.580890,-83.819502,201.5,13.2,60.01,,,0.97000,,,08,1
00:00:05.40,2013-05-05T17:47:02Z,41.580906,-83.819480,201.6,12.7,52.36,,,0.96000,,,08,1
00:00:05.60,2013-05-05T17:47:02Z,41.580926,-83.819461,201.5,12.8,44.74,,,0.96000,,,08,1
00:00:05.80,2013-05-05T17:47:02Z,41.580948,-83.819445,201.5,13.0,36.73,,,0.96000,,,08,1
00:00:06.00,2013-05-05T17:47:03Z,41.580971,-83.819435,201.7,12.9,25.93,,,0.96000,,,08,1
00:00:06.20,2013-05-05T17:47:03Z,41.580998,-83.819429,201.7,13.3,16.57,,,0.96000,,,08,1
00:00:06.40,2013-05-05T17:47:03Z,41.581025,-83.819427,201.7,13.9,9.24,,,0.96000,,,08,1
00:00:06.60,2013-05-05T17:47:03Z,41.581053,-83.819427,201.7,14.5,3.52,,,0.96000,,,08,1
00:00:06.80,2013-05-05T17:47:03Z,41.581082,-83.819429,201.7,15.2,359.67,,,0.96000,,,08,1
00:00:07.00,2013-05-05T17:47:04Z,41.581112,-83.819430,201.6,15.9,358.71,,,0.96000,,,08,1
00:00:07.20,2013-05-05T17:47:04Z,41.581144,-83.819430,201.7,16.6,359.60,,,0.96000,,,08,1
00:00:07.40,2013-05-05T17:47:04Z,41.581174,-83.819428,201.6,16.8,2.02,,,0.96000,,,08,1
00:00:07.60,2013-05-05T17:47:04Z,41.581204,-83.819421,201.6,16.8,6.05,,,0.96000,,,08,1
00:00:07.80,2013-05-05T17:47:04Z,41.581232,-83.819411,201.6,16.7,10.96,,,0.96000,,,08,1
00:00:08.00,2013-05-05T17:47:05Z,41.581259,-83.819396,201.7,16.6,16.19,,,0.96000,,,08,1
00:00:08.20,2013-05-05T17:47:05Z,41.581285,-83.819378,201.7,16.4,22.30,,,0.96000,,,08,1
00:00:08.40,2013-05-05T17:47:05Z,41.581308,-83.819355,201.7,16.4,29.18,,,0.96000,,,08,1
00:00:08.60,2013-05-05T17:47:05Z,41.581329,-83.819327,201.6,16.5,36.38,,,0.96000,,,08,1
00:00:08.80,2013-05-05T17:47:05Z,41.581348,-83.819294,201.4,17.1,44.40,,,0.96000,,,08,1
00:00:09.00,2013-05-05T17:47:06Z,41.581365,-83.819259,201.3,17.4,50.93,,,0.96000,,,08,1
00:00:09.20,2013-05-05T17:47:06Z,41.581378,-83.819221,201.3,17.7,57.32,,,0.96000,,,08,1
00:00:09.40,2013-05-05T17:47:06Z,41.581389,-83.819180,201.3,17.9,63.07,,,0.96000,,,08,1
00:00:09.60,2013-05-05T17:47:06Z,41.581400,-83.819139,201.4,18.1,66.33,,,0.96000,,,08,1
00:00:09.80,2013-05-05T17:47:06Z,41.581413,-83.819099,201.5,18.2,65.94,,,0.96000,,,08,1
00:00:10.00,2013-05-05T17:47:07Z,41.581430,-83.819059,201.6,18.5,63.49,,,0.96000,,,08,1
00:00:10.20,2013-05-05T17:47:07Z,41.581449,-83.819022,201.7,18.5,60.12,,,0.96000,,,08,1
00:00:10.40,2013-05-05T17:47:07Z,41.581468,-83.818985,201.7,18.5,57.18,,,0.96000,,,08,1
00:00:10.60,2013-05-05T17:47:07Z,41.581487,-83.818948,201.6,18.6,56.70,,,0.96000,,,08,1
00:00:10.80,2013-05-05T17:47:07Z,41.581502,-83.818909,201.6,18.5,59.47,,,0.96000,,,08,1
00:00:11.00,2013-05-05T17:47:08Z,41.581513,-83.818869,201.6,18.2,63.97,,,0.96000,,,08,1
00:00:11.20,2013-05-05T17:47:08Z,41.581520,-83.818828,201.6,17.7,69.31,,,0.96000,,,08,1
00:00:11.40,2013-05-05T17:47:08Z,41.581524,-83.818788,201.5,17.2,74.83,,,0.96000,,,08,1
00:00:11.60,2013-05-05T17:47:08Z,41.581527,-83.818748,201.5,17.1,78.11,,,0.96000,,,08,1
00:00:11.80,2013-05-05T17:47:08Z,41.581534,-83.818709,201.5,16.9,76.93,,,0.96000,,,08,1
00:00:12.00,2013-05-05T17:47:09Z,41.581546,-83.818673,201.7,16.6,72.25,,,0.96000,,,08,1
00:00:12.20,2013-05-05T17:47:09Z,41.581561,-83.818639,201.9,16.3,66.32,,,0.96000,,,08,1
00:00:12.40,2013-05-05T17:47:09Z,41.581579,-83.818608,201.9,15.8,59.69,,,0.96000,,,08,1
00:00:12.60,2013-05-05T17:47:09Z,41.581598,-83.818578,201.9,16.1,55.65,,,0.96000,,,08,1
00:00:12.80,2013-05-05T17:47:09Z,41.581615,-83.818545,201.9,16.5,55.44,,,0.96000,,,08,1
00:00:13.00,2013-05-05T17:47:10Z,41.581629,-83.818509,202.0,16.7,58.38,,,0.96000,,,08,1
00:00:13.20,2013-05-05T17:47:10Z,41.581640,-83.818469,201.9,17.3,63.79,,,0.96000,,,08,1
00:00:13.40,2013-05-05T17:47:10Z,41.581647,-83.818427,201.8,17.7,69.13,,,0.96000,,,08,1
00:00:13.60,2013-05-05T17:47:10Z,41.581651,-83.818384,201.8,17.7,74.67,,,0.96000,,,08,1
00:00:13.80,2013-05-05T17:47:10Z,41.581653,-83.818341,201.8,17.8,79.78,,,0.96000,,,08,1
00:00:14.00,2013-05-05T17:47:11Z,41.581655,-83.818295,201.9,18.3,82.56,,,0.96000,,,08,1
00:00:14.20,2013-05-05T17:47:11Z,41.581658,-83.818248,202.0,18.9,83.62,,,0.96000,,,08,1
00:00:14.40,2013-05-05T17:47:11Z,41.581662,-83.818200,202.0,19.5,83.39,,,0.96000,,,08,1
00:00:14.60,2013-05-05T17:47:11Z,41.581667,-83.818151,202.1,20.1,82.37,,,0.96000,,,08,1
00:00:14.80,2013-05-05T17:47:11Z,41.581674,-83.818101,202.1,20.8,81.08,,,0.96000,,,08,1
00:00:15.00,2013-05-05T17:47:12Z,41.581681,-83.818050,202.0,21.4,80.02,,,0.96000,,,08,1
00:00:15.20,2013-05-05T17:47:12Z,41.581688,-83.817998,202.0,21.8,79.75,,,0.96000,,,08,1
00:00:15.40,2013-05-05T17:47:12Z,41.581694,-83.817945,202.0,22.1,80.41,,,0.96000,,,08,1
00:00:15.60,2013-05-05T17:47:12Z,41.581698,-83.817891,202.1,22.4,82.01,,,0.96000,,,08,1
00:00:15.80,2013-05-05T17:47:12Z,41.581701,-83.817837,202.1,22.4,83.73,,,0.96000,,,08,1
00:00:16.00,2013-05-05T17:47:13Z,41.581703,-83.817784,202.1,22.2,84.99,,,0.96000,,,08,1
00:00:16.20,2013-05-05T17:47:13Z,41.581705,-83.817734,202.2,21.6,85.95,,,0.96000,,,08,1
00:00:16.40,2013-05-05T17:47:13Z,41.581707,-83.817687,202.3,20.6,86.23,,,0.96000,,,08,1
00:00:16.60,2013-05-05T17:47:13Z,41.581711,-83.817644,202.4,19.5,84.93,,,0.96000,,,08,1
00:00:16.80,2013-05-05T17:47:13Z,41.581717,-83.817603,202.6,18.4,82.30,,,0.96000,,,08,1
00:00:17.00,2013-05-05T17:47:14Z,41.581725,-83.817562,202.8,18.0,78.76,,,0.96000,,,08,1
