media time, time, latitude, longitude, elevation [m], speed [m/s], heading, variation, position dilution, horizontal dilution, vertical dilution, fix type, satellite count, valid
00:00:00.00,2013-05-05T18:17:55Z,41.580536,-83.819776,202.5,4.2,330.65,,,1.10000,,,07,1
00:00:00.20,2013-05-05T18:17:55Z,41.580546,-83.819783,202.5,5.2,330.92,,,1.10000,,,07,1
00:00:00.40,2013-05-05T18:17:56Z,41.580557,-83.819791,202.4,6.3,330.81,,,1.10000,,,07,1
00:00:00.60,2013-05-05T18:17:56Z,41.580570,-83.819801,202.4,7.3,329.87,,,1.10000,,,07,1
00:00:00.80,2013-05-05T18:17:56Z,41.580584,-83.819812,202.4,8.3,327.61,,,1.10000,,,07,1
00:00:01.00,2013-05-05T18:17:56Z,41.580600,-83.819825,202.3,9.2,326.45,,,1.10000,,,07,1
00:00:01.20,2013-05-05T18:17:56Z,41.580616,-83.819839,202.3,10.0,326.66,,,1.10000,,,07,1
00:00:01.40,2013-05-05T18:17:57Z,41.580633,-83.819852,202.3,10.3,328.37,,,1.10000,,,07,1
00:00:01.60,2013-05-05T18:17:57Z,41.580651,-83.819863,202.3,10.4,331.38,,,1.10000,,,07,1
00:00:01.80,2013-05-05T18:17:57Z,41.580669,-83.819871,202.3,10.4,337.02,,,1.10000,,,07,1
00:00:02.00,2013-05-05T18:17:57Z,41.580685,-83.819874,201.9,10.1,345.69,,,1.10000,,,07,1
00:00:02.20,2013-05-05T18:17:57Z,41.580702,-83.819874,202.0,9.8,352.26,,,1.10000,,,07,1
00:00:02.40,2013-05-05T18:17:58Z,41.580719,-83.819870,202.1,9.7,0.78,,,1.10000,,,07,1
00:00:02.60,2013-05-05T18:17:58Z,41.580734,-83.819862,202.2,9.8,10.66,,,1.10000,,,07,1
00:00:02.80,2013-05-05T18:17:58Z,41.580750,-83.819848,202.2,10.0,20.37,,,1.10000,,,07,1
00:00:03.00,2013-05-05T18:17:58Z,41.580762,-83.819830,202.1,10.1,30.44,,,1.10000,,,07,1
00:00:03.20,2013-05-05T18:17:58Z,41.580766,-83.819800,202.5,10.4,50.35,,,1.10000,,,07,1
00:00:03.40,2013-05-05T18:17:59Z,41.580773,-83.819774,202.6,10.7,60.25,,,1.10000,,,07,1
00:00:03.60,2013-05-05T18:17:59Z,41.580777,-83.819748,202.6,11.2,68.12,,,1.10000,,,07,1
00:00:03.80,2013-05-05T18:17:59Z,41.580782,-83.819721,202.5,11.3,71.48,,,1.10000,,,07,1
00:00:04.00,2013-05-05T18:17:59Z,41.580786,-83.819693,202.4,11.8,74.59,,,1.10000,,,07,1
00:00:04.20,2013-05-05T18:17:59Z,41.580791,-83.819662,202.3,12.4,76.51,,,1.10000,,,07,1
00:00:04.40,2013-05-05T18:18:00Z,41.580797,-83.819631,202.3,13.0,76.22,,,1.10000,,,07,1
00:00:04.60,2013-05-05T18:18:00Z,41.580805,-83.819599,202.3,13.6,73.93,,,1.10000,,,07,1
00:00:04.80,2013-05-05T18:18:00Z,41.580816,-83.819567,202.2,14.1,70.26,,,1.10000,,,07,1
00:00:05.00,2013-05-05T18:18:00Z,41.580833,-83.819538,201.9,14.6,62.36,,,1.10000,,,07,1
00:00:05.20,2013-05-05T18:18:00Z,41.580850,-83.819507,202.0,15.2,57.82,,,1.10000,,,07,1
00:00:05.40,2013-05-05T18:18:01Z,41.580868,-83.819480,202.0,14.9,53.87,,,1.10000,,,07,1
00:00:05.60,2013-05-05T18:18:01Z,41.580890,-83.819462,201.4,14.3,43.53,,,1.10000,,,07,1
00:00:05.80,2013-05-05T18:18:01Z,41.580912,-83.819446,201.2,13.9,35.16,,,1.10000,,,07,1
00:00:06.00,2013-05-05T18:18:01Z,41.580937,-83.819434,201.2,14.1,26.59,,,1.10000,,,07,1
